SNLG11.SA,0.76,Mogno Logistica Fundo De Investimento Imobiliario
VGIR11.SA,9.7,Valora Re III Fundo De Investimento Imobiliario
BTCI11.SA,9.25,Fundo Infestimento Imobiliario Btg Pactual Credito Imobiliario
KNSC11.SA,8.84,Kinea Securities Fundo De Investimento Imobiliario – Fii
WHGR11.SA,8.79,Whg Real Estate Fundo De Investimento Imobiliario – Fii
GARE11.SA,8.98,Guardian Logistica Fundo De Investimento Imobiliario
XPSF11.SA,6.08,XP Selection Fundo De Fundos De Investimento Imobiliario - FII

