"SNLG11.SA",
"BPAN4.SA",
"ITUB3.SA",
"CXSE3.SA",
"BEES3.SA",
"BEES4.SA",
"ITSA3.SA",
"BBDC3.SA",
"QUAL3.SA",
"MTRE3.SA",
"VULC3.SA",
"MDNE3.SA",
"ALOS3.SA",
"MDIA3.SA",
"VIVT3.SA",
"JHSF3.SA",
"ITSA4.SA",
"ITUB4.SA",
"BBDC4.SA",
"PETR4.SA",
"BBAS3.SA",
"KEPL3.SA",
"SEQL3.SA",
"CASH3.SA",
"DASA3.SA",
"RNEW4.SA",
"CAML3.SA",
"HAPV3.SA",
"JSLG3.SA",
"BPAN4.SA"
